FSA_postal_code,BUILDING RENOVATOR,CLOTHING DROP BOX LOCATION PERMIT,COMMERCIAL PARKING LOT,DRAIN LAYER,DRIVEWAY PAVING CONTRACTOR,DRIVING INSTRUCTOR (V),DRIVING SCHOOL OPERATOR (B),DRIVING SCHOOL OPERATOR (V),EATING ESTABLISHMENT,HAWKER/PEDLAR ON FOOT,HAWKER/PEDLAR WITH MOTOR VEHICLE,HEATING CONTRACTOR,INSULATION INSTALLER,LAUNDRY,LIMOUSINE OWNER,MASTER HEATING INSTALLER,MASTER PLUMBER,MOBILE VENDING (FOOD TRUCK),MOTORIZED REFRESHMENT VEHICLE OWNER,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,PAWN SHOP,PAYDAY LOAN,PERSONAL SERVICES SETTINGS,PLACE OF AMUSEMENT,PLUMBING & HEATING CONTRACTOR,PLUMBING CONTRACTOR,PRECIOUS METAL SHOP,PRIVATE PARKING ENFORCEMENT AGENCY,PUBLIC GARAGE,PUBLIC HALL,RETAIL STORE (FOOD),SECOND HAND SHOP,SMOKE SHOP,TAXICAB BROKER,TAXICAB OWNER,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),TEMPORARY SIGN - A-FRAME,TEMPORARY SIGN - MOBILE,THEATRE,TORONTO TAXICAB OWNER,TOW TRUCK OWNER,BOWLING HOUSE,BUILDING CLEANER,COLLECTOR OF SECOND HAND GOODS,DRIVE-SELF RENTAL OWNER,HOLISTIC CENTRE,PERMANENT FIREWORKS VENDOR,VAPOUR PRODUCT RETAILER,AUCTIONEER,BILLIARD HALL,BODY RUB PARLOUR,CARNIVAL,DRAIN CONTRACTOR,LIMOUSINE SERVICE COMPANY,MOBILE VENDING (ICE CREAM TRUCK),PET SHOP,TEMPORARY MOBILE FIREWORKS VENDOR,ADVERTISING,SWIMMING POOL,SECOND HAND SALVAGE SHOP,SECOND HAND SALVAGE YARD,TEMPORARY LEASE FIREWORKS VENDOR,ADULT ENTERTAINMENT CLUB,BILL DISTRIBUTOR,ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,HAWKER/PEDLAR WITH PUSH CART,CHIMNEY REPAIRMAN,TAXICAB OPERATOR,TEMPORARY SIGN PROVIDER,SIDEWALK CAFE,SIDEWALK VENDING,TEMPORARY SIGN - GROUND-MOUNTED,PRIVATE TRANSPORTATION COMPANY,CIRCUS,TRANSIENT TRADER,MARKETING DISPLAY,TEMPORARY SIGN - NEW DEVELOPMENT,TEMPORARY SIGN - PORTABLE,CLOTHING DROP BOX OPERATOR,BATH HOUSE,AUTO SERVICE STATION,PEDICAB OWNER,CURBLANE VENDING,CURB LANE CAFE,BOATS FOR HIRE,SHORT TERM RENTAL COMPANY,MOTOR VEHICLE RACING
M3G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3H,94,35,7,3,1,11,18,5,290,6,1,2,0,34,13,8,30,2,24,18,4,5,151,1,0,21,3,1,160,7,244,9,5,0,168,1,2,1,103,0,3,4,0,0,1,6,44,0,0,3,6,1,0,2,2,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
M3J,96,17,13,2,2,32,25,7,716,3,0,9,0,42,4,4,17,2,9,12,7,5,98,8,4,19,5,3,1392,10,269,37,3,5,44,6,1,0,183,0,6,263,0,0,2,15,84,1,1,3,9,29,0,0,0,1,0,9,0,0,3,2,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,20,0,3,0,0,0,0,0,0,0,0
M3K,35,7,2,2,0,0,4,0,234,5,1,1,0,9,5,3,7,0,1,6,2,2,75,2,4,3,2,1,108,1,217,15,1,3,49,1,0,0,34,0,0,6,2,0,0,0,28,0,0,1,3,14,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M3L,30,5,2,1,0,8,1,0,139,7,2,1,0,21,2,2,6,0,1,3,1,2,47,3,1,4,5,0,48,0,136,12,2,0,23,2,4,0,12,0,1,6,0,0,1,0,4,0,0,2,1,0,0,0,0,2,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3M,71,14,7,0,1,13,6,2,131,8,2,2,0,15,0,1,22,0,6,6,2,5,67,4,0,10,4,1,37,2,153,9,0,0,37,1,3,0,12,0,13,12,0,0,2,1,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3N,52,30,6,1,0,27,13,2,207,13,5,7,0,19,0,7,6,0,30,9,2,3,34,1,0,3,4,2,197,1,216,14,5,5,165,0,5,0,48,0,7,20,0,0,3,1,15,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4A,29,12,0,1,2,9,8,3,103,7,0,6,0,5,2,7,6,0,2,8,0,1,22,3,5,6,1,0,82,9,84,11,0,3,56,0,0,0,36,1,5,262,0,2,0,7,5,0,1,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4B,104,16,0,3,0,14,1,0,209,3,0,3,0,47,7,8,17,2,6,9,0,0,83,1,2,14,1,1,55,2,210,3,0,0,48,1,0,0,5,0,1,30,3,1,0,2,18,0,1,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M4C,154,24,10,1,4,43,16,2,573,8,2,5,0,46,15,7,21,1,6,40,4,3,193,9,1,20,6,1,110,11,515,72,4,0,83,1,5,6,15,0,11,2,0,1,0,4,36,0,3,1,12,0,0,2,0,0,1,9,0,0,1,0,0,0,0,0,2,1,1,0,29,1,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0
M4E,85,7,0,2,1,1,0,2,315,5,0,1,0,37,1,1,5,1,4,7,0,0,127,3,0,3,0,0,84,0,209,20,5,1,19,0,0,2,5,3,0,0,0,0,0,0,4,0,0,3,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
M4G,66,10,11,0,0,1,2,0,297,0,0,4,0,21,1,8,7,0,2,5,0,0,134,2,4,11,1,4,80,0,191,22,5,2,12,2,0,7,32,0,0,1,0,0,0,4,17,1,1,3,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M4H,27,9,7,0,0,46,1,1,100,4,21,0,0,10,16,1,2,0,1,6,0,2,23,0,3,1,3,1,11,6,111,6,0,0,89,2,0,0,7,0,13,30,3,0,2,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4J,121,5,1,2,2,17,11,0,642,8,3,4,0,26,0,8,21,6,19,21,3,3,136,16,2,12,2,2,22,2,395,39,7,4,92,0,1,9,3,2,1,6,1,1,1,7,19,0,1,3,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,2,0,130,1,0,0,0,0,22,0,0,1,0,0,12,0,0,0,0,0
M4K,105,12,7,1,1,12,10,2,621,9,1,3,0,47,2,8,14,0,2,35,3,3,177,0,2,8,5,0,60,10,434,16,2,0,78,0,1,10,6,1,0,5,0,0,0,1,20,0,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1,0,0,0,0,60,0,0,0,0,0,11,0,0,0,0,0
M4L,121,4,1,1,0,5,3,1,594,4,2,3,2,39,5,6,7,12,20,12,3,1,94,6,1,7,10,2,112,12,351,36,8,0,43,1,1,6,0,5,3,12,2,0,0,1,6,0,4,3,1,0,0,0,0,10,4,0,0,0,0,5,0,0,0,0,0,2,1,0,47,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
M4M,78,5,5,1,0,10,6,8,702,8,0,4,0,19,1,5,11,0,6,8,1,1,174,3,3,10,2,0,191,3,393,78,4,0,16,4,1,12,5,4,1,24,0,1,0,4,19,1,0,0,3,0,0,0,0,1,4,0,0,0,0,4,0,2,0,0,2,0,1,0,37,1,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0
M4N,27,5,7,0,0,2,2,0,239,0,0,3,0,26,0,4,3,0,0,0,0,0,108,1,0,2,0,1,6,0,109,18,1,0,4,0,1,8,12,0,0,8,0,0,0,2,28,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
M4P,13,5,40,0,0,6,8,0,461,0,1,3,0,17,9,1,5,2,3,5,2,1,155,2,0,4,4,8,6,0,285,21,3,0,15,0,0,19,3,2,0,0,0,0,0,7,32,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,73,5,0,0,0,0,17,12,1,0,0,0,0,0,0,0,0,0
M4R,18,3,6,0,0,1,2,34,74,2,0,1,0,1,0,1,1,0,0,0,0,0,18,0,0,2,0,0,0,1,30,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4S,29,11,45,0,0,4,2,0,415,0,0,3,1,25,17,5,4,0,1,15,0,0,99,2,0,6,1,0,14,0,199,31,2,0,21,0,0,10,1,3,1,0,0,0,0,5,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,58,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0
